,Skole,Status,Note
,Vrigsted Efterskole,Blank,kontor@vrigsted-efterskole.dk
,Waldemarsbo Efterskole,Blank,waldemarsbo@waldemarsbo.dk
,Faxehus Efterskole,Blank,kontor@faxehus.dk
,"Tølløse Privat- og Efterskole, Baptisternes Efterskoler",Blank,tpoe@tpoe.dk
,Hoptrup Efterskole,Blank,mail@hoptrupefterskole.dk
,Gørlev Idrætsefterskole,Blank,kontoret@idraetsefterskolen.dk
,"Skolen for Gastronomi, Musik & Design",Blank,info@skolenfor.dk
,Baaring Efterskole,Blank,Mail@baaringefterskole.dk
,Efterskolen Solgården,Blank,kontoret@solgaarden.dk
,Adventure Efterskolen Sønderjylland Skelde,Blank,Info@adventure-efterskolen.dk
,Skibelund Gymnastik- og Idrætsefterskole,Blank,kontor@s-g-i.dk
,Skrødstrup Efterskole,Blank,skrodstrup@skrodstrup.dk
,Mariager Høj- & Efterskole ,Blank,kontor@mariager-efterskole.dk
,Djurslands Efterskole,Blank,hej@djurslands.dk
,Eriksminde Efterskole,Blank,post@eriksmindeefterskole.dk
,Rudehøj Efterskole,Blank,info@rudehoj.dk
,Galtrup Efterskole,Blank,galtrup@galtrup.dk
,Skals Efterskole,Blank,MAIL@SKALS-EFTERSKOLE.DK
,Klejtrup Musikefterskole,Blank,info@klejtrupmusikefterskole.dk
,Hald Ege Fri- & Efterskole ,Blank,info@hald-ege-efterskole.dk
,Aalestrup Naturefterskole,Blank,post@naturefterskolen.dk
,Østhimmerlands Ungdomsskole,Blank,oeu@oeu.dk
,Rebild Efterskole,Blank,kontor@rebildefterskole.dk 
,Svendborg Efterskole,Blank,kontor@svendborg-efterskole.dk
,Musikefterskolen i Humble,Blank,post@musikefterskolen.dk
,Nordfyns Efterskole,Blank,kontor@nordfe.dk
,Vestfyns Efterskole,Blank,VE@VestfynsEfterskole.dk
,Sportsefterskolen SINE,Blank,sine@sine.dk
,Nordborg Slots Efterskole,Blank,info@scienceefterskolen.dk
,Rejsby Europæiske Efterskole,Blank,kontor@rejsby-efterskole.dk
,Vojens Gymnastik- og Idrætsefterskole,Blank,vgie@vgie.dk
,Højer Design Efterskole,Blank,kontor@hoejerefterskole.dk
,Øse Efterskole,Blank,kontoret@oese.dk
,Vesterlund Efterskole,Blank,kontor@vesterlund-efterskole.dk
,Hellebjerg Idrætsefterskole,Blank,kontoret@hellebjerg.dk
,Efterskolen Kildevæld,Blank,kontor@efterskolen-kildevaeld.dk
,Skanderup Efterskole,Blank,kontor@skanderupefterskole.dk
,Idrætsefterskolen Lægården,Blank,mail@laegaarden.dk
,Hestlund Efterskole,Blank,he@hestlund.dk
,Idrætsskolerne Ikast ,Blank,info@isi.dk
,Hardsyssel Efterskole,Blank,kontoret@hardsyssel.dk
,Nøvlingskov Efterskole,Blank,noev@noevlingskov.dk
,Staby Efterskole,Blank,post@stabyefterskole.dk
,Husby Efterskole,Blank,post@husbyefterskole.dk
,Brejninggaard Efterskole,Blank,mail@brejninggaard.dk
,Tirstrup Idrætsefterskole,Blank,kontor@tirstrup-ie.dk
,Frijsenborg Efterskole,Blank,info@fus.dk
,Efterskolen Ådalen og Åskolen - friskolen i Hørning,Blank,aaskolen@aaskolen.dk
,Gribskov Efterskole,Blank,gribskov@gribskovefterskole.dk
,Risskov Efterskole,Blank,info@risskovefterskole.dk
,Odsherreds Efterskole,Blank,oe@oepost.dk
,Hårslev Efterskole,Blank,info@haarslevefterskole.dk
,Tømmerup Fri- og Efterskole ,Blank,kontor@tfe.dk
,Brøderup Efterskole,Blank,kontoret@befs.dk
,Brøndby Idrætsefterskole,Blank,kontakt@brondby-ie.dk
,Efterskolen Lindenborg,Blank,kontoret@efterskolen.dk
,Baunehøj Efterskole,Blank,be@baunehoej.dk
,Skovbo Efterskole,Blank,kontor@skovboefterskole.dk
,Bindernæs Efterskole,Blank, info@bindernaes.dk
,Silkeborg Efterskole,Blank,info@silkeborgefterskole.dk
,Efterskolen for Scenekunst,Blank,info@efterskolenforscenekunst.dk
,Haslev Idrætsefterskole,Blank,adm@his-haslev.dk
,Friskolen og Idrætsefterskolen Ubby,Blank,kontor@ubby.dk
,Efterskolen Smededal,Blank,info@smededal.dk
,Idrætsefterskolen Grønsund,Blank,kf@ieg.dk
,Gunslevholm Idrætsefterskole,Blank,INFO@GUNSLEVHOLM.DK
,Næsgaard Efterskole,Blank,Kontor@naesgaard.dk
,"Ollerup Efterskole, Sang og Musik",Blank,mail@ollemus.dk
,Nørre Aaby Efterskole,Blank,naae@naae.dk
,Ryslinge Høj- og Efterskole ,Blank,mail@ryslinge-efterskole.dk
,Ringe Fri- og Efterskole,Blank,rfe@rfe.dk
,Hammerum Fri- og Efterskole ,Blank,hammerum-efterskole@hamme.dk
,Efterskolen Helle,Blank,kontor@efterskolenhelle.dk
,Glamsbjerg Fri- og Efterskole,Blank,kontor@gfeskole.dk
,Magleby Efterskole,Blank,kontor@maglebyefterskole.dk
,Efterskolen Alterna,Blank,info@efterskolerne.dk
,Tronsø Efterskole og Fri Fagskole,Blank,tronso@tronso.dk
,Frøslev Efterskole,Blank,post@fle-skole.dk
,Osted Fri- og Efterskole ,Blank,kontor@ostedefterskole.dk
,Efterskolen Epos,Blank,kontor@epos-efterskole.dk  
,Broby Fri- og Efterskole,Blank,info@brobysportsefterskole.dk
,Hjemly Fri- og Idrætsefterskole,Blank, hjemly@hjemly.dk
,Ærø Efterskole,Blank,aee@aee.dk
,Bøvling Fri- og Idrætsefterskole ,Blank,info@bi-efterskole.dk
,Vesterbølle Efterskole,Aktiv,kontakt@v-e.dk
,Stubbekøbing Efterskole,Blank,sa@stefalster.dk
,Efterskolen Østergård,Blank,kontor@oe42.dk
,Mejlby Efterskole,Blank,kontor@mejlbyefterskole.dk
,Lystruphave Efterskole,Blank,info@lystruphave.dk
,Gylling Efterskole,Blank,ge@gylling-efterskole.dk
,Sdr. Feldings Efterskole,Blank,kontor@sfeefterskole.dk
,Kragelund Efterskole,Blank, kontoret@kragelund-efterskole.dk
,Bernstorffsminde Efterskole,Blank,info@berns.dk
,Hedens Efterskole,Blank,kontor@hedensefterskole.dk
,True North Efterskole Snaptun,Blank,info@efterskolerne.dk
,Glamsdalens Idrætsefterskole,Blank,gie@glamsdalen.dk
,Grejsdalens Efterskole,Blank,ge@grejsdalens.dk
,Efterskolen Frydensberg,Blank,kontor@frydensberg.dk
,Vejlefjordskolen ,Blank,info@vejlefjordskolen.dk
,Lyngs Idrætsefterskole,Blank,kontoret@l-i-e.dk
,Himmelbjergegnens Natur- og Idrætsefterskole,Blank,kontor@himmelbjergegnens.dk
,Brøruphus Efterskole,Blank,broeruphus@broeruphus.dk
,Karise Efterskole,Blank,kontor@kaef.dk
,Sdr. Nærå Friskole og Midtfyns Efterskole,Blank,kontor@1858.dk
,Fårevejle Fri- og Efterskole,Blank,Kontoret@ffeonline.dk
,Mellerup Fri- og Efterskole ,Blank,kontor@mellerupefterskole.dk
,Kastanievej Efterskole Frederiksberg,Blank,kontakt@kastanie.dk
,Efterskolen Sports Academy Denmark,Blank,info@efterskolerne.dk
,"Vinde Helsinge Friskole, Vestsjællands Idrætsefterskole",Blank,kontor@efterskole.nu
,Høng Efterskole,Blank,sekretaer@hoengefterskole.dk
,Tølløse Slots Efterskole,Blank,tse@slottet.dk
,Korinth Efterskole,Blank,kontor@korinth-efterskole.dk
,Faaborgegnens Efterskole,Blank,kontor@faae.dk
,Vejstrup Efterskole,Blank,vejstrup@vejstrup.dk
,Skolerne i Oure - Sport & Performance,Blank,info@oure.dk
,Kerteminde Efterskole,Blank,kontor@kertemindeefterskole.dk
,Eisbjerghus Internationale Efterskole,Blank,kontor@eisbjerghus.dk
,Tommerup Efterskole,Blank,post@tommerup-efterskole.dk
,Design- & Idrætsefterskolen Skamling,Blank,kontor@skamling.dk
,Sundeved Efterskole,Blank,kontor@sundeved-efterskole.dk
,Kongeådalens Efterskole,Blank, info@kongeskole.dk
,Den Tyske Efterskole Tinglev,Blank,nachschule@tingleff.dk
,Frøstruphave Efterskole,Blank,post@frostruphave.dk
,Bramming Gymnastik- og Idrætsefterskole,Kontaktet,kontor@brammingefterskole.dk
,Sydvestjyllands Efterskole,Blank,se@sydvestjyllandsefterskole.dk
,Vardeegnens Gymnasieforberedende Efterskole,Blank,post@vge.dk
,Ølgod Efterskole,Blank,info@oelgodefterskole.dk
,Brejning Efterskole,Blank,kontor@brejning.dk
,Ågård Efterskole,Blank,post@aagaardefterskole.dk
,Vestbirk Musik- & Sportsefterskole,Blank,kontor@vmse.dk
,Bråskovgård Efterskole,Blank,kontor@bge.dk
,Koldingegnens Idrætsefterskole,Blank,kontor@kie.dk
,Lunderskov Efterskole,Blank,post@lunderskov-efterskole.dk
,Midtjysk Efterskole,Blank,midtjysk@midtjyskefterskole.dk
,Flemming Efterskole,Blank,info@flemmingefterskole.dk
,Vejle Idrætshøjskole & Vejle Idrætsefterskole ,Blank,kontor@vies.dk
,Blåkilde Efterskole,Blank,info@blaakildeefterskole.dk
,Orkesterefterskolen,Blank,mail@orkesterefterskolen.dk
,Lomborg Gymnastik- og Idrætsefterskole,Blank,info@lomborg-efterskole.dk
,Venø Efterskole,Blank,info@venoe-efterskole.dk
,Rydhave Slots Efterskole,Blank,info@rydhave.dk
,Femmøller Efterskole,Blank,fe@femmoeller.dk
,Helgenæs Naturefterskole,Blank,kontakt@hne.dk
,Klank Efterskole,Blank,post@klank-efterskole.dk
,Hou Maritime Idrætsefterskole,Blank,info@hmi.dk
,Samsø Efterskole,Blank,info@samsoefterskole.dk
,Salling Efterskole,Blank,kontor@salling-efterskole.dk
,Skyum Idrætsefterskole,Blank,kontoret@skyum.dk
,Tjele Efterskole,Blank,info@tjeleefterskole.dk
,Halvorsminde Efterskole og Halvor Fri Fagskole,Blank,kontor@halvorsminde.dk
,Thorsgaard Efterskole,Blank,kontor@thorsgaardefterskole.dk
,Onsild Idrætsefterskole,Blank,kontor@onsild.dk
,Østerskov Efterskole,Blank,kontor@osterskov.dk
,Himmerlandscentrets Idrætsefterskole,Blank,kontor@hci.dk
,Sportsefterskolen Aabybro,Blank,Info@sportsefterskolen.dk
,Himmerlands Ungdomsskole,Blank,info@h-u.dk
,Sydøstsjællands Idrætsefterskole,Blank,kontor@soes-idraet.dk
,Bjergsnæs Efterskole,Blank,bs@bjergsnaes.dk
,Dybbøl Efterskole,Blank,DYBBOELEFTERSKOLE@DYBBOELEFTERSKOLE.DK
,Idrætsefterskolen Ulbølle,Blank,ieu@ieu.dk
,Rågelund Efterskole,Blank,raagelund@raagelund.dk
,Sofie Rifbjerg Efterskole,Blank,kontakt@sofierifbjerg.dk
,Efterskolen Solbakken,Blank,forstander@efterskolensolbakken.dk
,Try Efterskole,Blank,kontor@tryefterskole.dk
,Ryå Efterskole,Blank,kontor@ryaaefterskole.dk
,Tolne Efterskole,Blank,kontakt@tolneefterskole.dk
,Hobro Efterskole,Blank,post@hobroefterskole.dk
,Farsø Efterskole,Blank,info@f-e.dk
,Sjørringvold Efterskole,Blank,kontoret@thy-ordblind.dk
,Gødvad Efterskole,Blank,info@goed.dk
,Nørbæk Efterskole,Blank,ln@n-efterskole.dk
,Finderup Efterskole,Blank,info@finderup.dk
,Fenskær Efterskole,Blank,post@fenskaer.dk
,Bork Havn Efterskole,Blank,kontoret@bhe-skole.dk
,Sdr. Bork Efterskole,Blank,info@sbe.dk
,Store Andst Efterskole,Blank,kontor@storeandst.dk
,Aabæk Efterskole,Blank,aabaek@aabaek.dk
,Klintebjerg Efterskole,Blank,kontor@klintebjerg-efterskole.dk
,Nislevgård Efterskole,Blank,info@nislevgaard.dk
,Hjembæk Efterskole,Blank,hjembaek@hjembaekefterskole.dk
,Kvie Sø Efterskole,Blank,kontor@kviesoefterskole.dk
,Rødding Fri Fag- og Efterskole,Blank,mail@fagogefterskole.dk
